Negative,Positive,WC
0.260366,0.739634,21
0.373499,0.626501,26
0.000000,1.000000,22
0.815293,0.184707,22
0.119915,0.880085,21
1.000000,0.000000,21
1.000000,0.000000,22
0.002271,0.997729,18
1.000000,0.000000,16
0.093374,0.906626,22
0.000856,0.999144,22
0.000000,1.000000,18
0.956137,0.043863,12
1.000000,0.000000,19
1.000000,0.000000,21
0.999999,0.000001,22
0.999300,0.000700,22
0.999985,0.000015,18
0.186109,0.813891,22
0.043198,0.956802,23
0.999998,0.000002,20
0.209961,0.790039,24
0.898729,0.101271,23
0.997897,0.002103,20
0.058363,0.941637,26
0.309000,0.691000,21
0.871160,0.128840,16
0.974471,0.025529,22
0.870735,0.129265,25
0.990352,0.009648,16
0.992867,0.007133,22
0.999971,0.000029,25
1.000000,0.000000,22
0.999996,0.000004,23
1.000000,0.000000,13
0.000010,0.999990,38
0.000549,0.999451,25
0.091865,0.908135,22
1.000000,0.000000,24
0.999999,0.000001,18
0.999996,0.000004,27
0.000116,0.999884,22
1.000000,0.000000,22
0.962418,0.037582,23
0.998637,0.001363,24
0.007754,0.992246,24
0.971313,0.028687,23
0.991223,0.008777,24
0.000331,0.999669,23
0.999451,0.000550,22
0.999619,0.000381,25
0.007164,0.992836,18
0.000000,1.000000,21
0.993504,0.006496,22
0.999375,0.000625,20
0.002877,0.997123,18
0.999989,0.000011,24
0.999703,0.000297,18
0.999996,0.000004,26
0.200665,0.799335,20
0.018828,0.981172,26
0.999924,0.000076,21
0.999375,0.000625,23
1.000000,0.000000,28
0.999997,0.000003,23
0.974461,0.025539,18
0.999759,0.000241,25
1.000000,0.000000,23
0.023063,0.976937,21
0.000080,0.999920,19
0.000001,0.999999,14
0.429342,0.570658,21
1.000000,0.000000,22
0.000001,0.999999,21
0.988331,0.011669,23
1.000000,0.000000,18
0.000000,1.000000,18
0.998247,0.001754,18
0.132321,0.867679,11
0.000267,0.999733,15
0.000000,1.000000,20
0.003510,0.996490,16
0.000021,0.999979,12
1.000000,0.000000,23
0.999967,0.000033,21
0.949910,0.050090,23
0.788229,0.211771,23
0.000000,1.000000,22
0.000000,1.000000,22
0.000605,0.999395,19
1.000000,0.000000,17
0.023516,0.976484,8
0.000010,0.999990,10
1.000000,0.000000,23
0.000000,1.000000,22
0.000117,0.999883,21
0.049526,0.950474,22
0.000014,0.999986,26
0.004100,0.995900,21
0.000001,1.000000,25
0.796488,0.203512,18
1.000000,0.000000,22
0.999668,0.000332,17
0.001719,0.998281,21
0.000000,1.000000,22
0.000260,0.999740,24
0.999996,0.000004,18
0.977514,0.022486,22
0.025137,0.974863,23
1.000000,0.000000,18
0.936696,0.063304,18
0.004897,0.995103,21
0.999859,0.000141,20
0.090216,0.909784,22
1.000000,0.000000,19
0.971172,0.028828,17
0.999043,0.000957,22
0.361859,0.638141,17
0.805724,0.194276,21
0.999962,0.000038,18
0.002875,0.997125,21
0.998463,0.001537,21
