Negative,Positive,WC
0.188769,0.811231,6
0.002776,0.997224,8
0.999999,0.000001,8
1.000000,0.000000,13
0.490416,0.509584,28
1.000000,0.000000,4
0.275041,0.724959,28
0.998771,0.001229,27
0.003784,0.996216,22
1.000000,0.000000,22
0.092990,0.907010,29
1.000000,0.000000,23
1.000000,0.000000,24
0.452727,0.547273,15
0.999998,0.000002,21
0.999641,0.000359,17
1.000000,0.000000,19
1.000000,0.000000,14
0.997007,0.002993,15
0.999946,0.000054,27
0.999997,0.000003,31
0.170729,0.829271,3
1.000000,0.000000,10
0.817004,0.182996,8
1.000000,0.000000,20
0.999916,0.000084,17
1.000000,0.000000,10
0.943563,0.056437,24
0.683997,0.316003,17
0.999939,0.000061,16
0.999445,0.000554,7
0.563246,0.436754,2
0.013229,0.986771,18
0.944140,0.055860,13
0.905855,0.094145,11
1.000000,0.000000,6
1.000000,0.000000,14
0.998719,0.001281,4
0.000120,0.999880,22
0.994609,0.005391,21
0.997261,0.002739,16
0.999079,0.000921,18
1.000000,0.000000,25
0.998579,0.001421,25
0.999999,0.000001,8
0.000087,0.999913,15
0.000000,1.000000,15
0.999992,0.000008,18
1.000000,0.000000,15
0.999119,0.000881,25
0.000004,0.999996,17
0.016811,0.983189,22
0.020879,0.979121,24
0.999928,0.000072,13
1.000000,0.000000,27
0.999998,0.000002,8
0.996864,0.003136,24
0.997868,0.002132,21
0.013411,0.986589,16
1.000000,0.000000,4
0.999995,0.000005,12
1.000000,0.000000,18
0.989797,0.010203,26
0.971276,0.028724,25
0.041175,0.958825,14
0.004733,0.995267,18
0.493537,0.506463,1
0.999665,0.000335,9
1.000000,0.000000,7
0.999999,0.000001,22
0.000005,0.999995,16
0.999988,0.000012,13
0.000002,0.999998,21
0.999836,0.000164,20
0.971741,0.028259,30
1.000000,0.000000,27
1.000000,0.000000,21
0.039990,0.960010,3
0.000003,0.999997,14
0.000000,1.000000,49
0.000004,0.999996,11
0.456597,0.543403,14
0.953522,0.046478,28
0.170729,0.829271,3
1.000000,0.000000,5
0.493537,0.506463,1
1.000000,0.000000,14
0.999986,0.000014,6
1.000000,0.000000,22
0.000000,1.000000,8
0.999989,0.000011,13
0.493537,0.506463,1
0.991190,0.008810,23
1.000000,0.000000,23
0.000000,1.000000,15
1.000000,0.000000,10
0.999938,0.000062,26
0.000820,0.999180,9
0.000000,1.000000,20
0.998619,0.001381,21
0.005329,0.994671,15
0.909119,0.090881,20
0.998111,0.001889,11
0.999994,0.000006,11
0.938820,0.061180,25
1.000000,0.000000,12
1.000000,0.000000,10
0.982630,0.017370,24
0.000001,0.999999,19
0.999610,0.000390,23
0.999767,0.000233,15
0.945507,0.054493,28
0.824188,0.175812,17
0.001514,0.998486,16
0.999999,0.000001,20
0.289775,0.710225,20
0.000000,1.000000,48
1.000000,0.000000,14
0.999999,0.000001,8
0.000017,0.999983,18
0.594706,0.405294,13
0.000000,1.000000,21
0.999423,0.000577,14
0.061705,0.938295,9
1.000000,0.000000,14
0.003671,0.996329,21
0.116807,0.883193,14
1.000000,0.000000,8
0.990214,0.009786,5
0.001284,0.998716,16
0.000000,1.000000,17
0.000000,1.000000,19
0.020935,0.979065,19
0.000000,1.000000,35
1.000000,0.000000,10
0.170729,0.829271,3
1.000000,0.000000,27
0.000309,0.999691,21
0.046483,0.953517,17
0.000310,0.999690,11
0.000000,1.000000,9
0.010545,0.989455,20
1.000000,0.000000,24
0.000514,0.999486,35
0.812661,0.187339,3
0.999936,0.000064,14
0.353447,0.646553,14
0.000000,1.000000,13
0.999970,0.000030,27
0.999400,0.000600,10
0.001628,0.998372,12
0.000000,1.000000,23
0.272766,0.727234,17
1.000000,0.000000,28
0.999854,0.000146,10
0.999995,0.000005,20
0.997505,0.002495,3
0.855063,0.144937,18
0.956334,0.043666,17
1.000000,0.000000,21
0.000186,0.999814,20
0.996663,0.003337,24
0.000000,1.000000,11
0.493537,0.506463,1
0.000413,0.999587,13
0.002455,0.997545,7
0.000504,0.999496,16
0.995236,0.004764,21
0.000036,0.999964,17
0.000000,1.000000,17
0.000000,1.000000,33
1.000000,0.000000,10
0.000801,0.999199,21
1.000000,0.000000,4
0.784237,0.215763,14
0.421471,0.578529,2
0.000000,1.000000,27
1.000000,0.000000,24
1.000000,0.000000,28
0.966764,0.033236,14
0.996566,0.003434,22
0.999999,0.000001,17
0.017452,0.982548,23
0.970553,0.029447,26
1.000000,0.000000,16
0.170729,0.829271,3
0.004370,0.995630,4
0.999783,0.000217,24
0.000110,0.999890,18
0.000765,0.999235,11
0.999685,0.000315,24
1.000000,0.000000,22
0.020458,0.979542,15
0.493537,0.506463,1
0.995428,0.004572,29
0.000341,0.999659,21
0.999001,0.000999,27
0.000037,0.999963,12
0.999999,0.000001,11
0.503166,0.496834,7
1.000000,0.000000,9
0.005559,0.994441,25
0.000001,0.999999,16
0.000000,1.000000,15
0.999927,0.000073,4
0.999992,0.000008,9
0.992397,0.007603,14
0.999995,0.000005,18
0.030084,0.969916,22
0.000045,0.999955,22
1.000000,0.000000,37
0.783803,0.216197,24
1.000000,0.000000,19
0.000000,1.000000,29
0.997730,0.002270,24
0.000000,1.000000,16
0.003275,0.996725,4
1.000000,0.000000,19
0.344913,0.655087,65
0.000000,1.000000,22
0.999999,0.000001,24
0.681820,0.318180,18
0.000000,1.000000,10
0.000000,1.000000,15
1.000000,0.000000,9
0.003886,0.996114,5
0.999999,0.000001,11
0.000000,1.000000,9
0.985103,0.014897,23
0.326458,0.673542,2
0.153934,0.846066,10
1.000000,0.000000,12
1.000000,0.000000,13
0.000282,0.999718,14
0.999989,0.000011,13
0.295371,0.704629,20
0.005584,0.994416,18
0.000000,1.000000,18
1.000000,0.000000,4
1.000000,0.000000,7
1.000000,0.000000,2
0.495840,0.504160,1
0.999943,0.000057,10
0.001138,0.998862,15
0.000000,1.000000,19
0.999994,0.000006,18
0.943569,0.056431,23
0.413176,0.586824,19
1.000000,0.000000,3
0.964508,0.035492,18
0.000000,1.000000,11
1.000000,0.000000,4
1.000000,0.000000,20
0.963720,0.036280,47
0.999973,0.000027,8
0.000004,0.999996,14
1.000000,0.000000,11
1.000000,0.000000,22
0.003418,0.996582,8
0.000806,0.999194,22
0.000000,1.000000,9
0.004684,0.995316,5
1.000000,0.000000,22
1.000000,0.000000,8
0.997219,0.002781,8
0.999533,0.000467,5
0.001753,0.998247,23
0.000000,1.000000,22
0.630834,0.369166,1
0.000027,0.999973,18
0.005794,0.994206,8
0.000000,1.000000,13
1.000000,0.000000,21
0.999669,0.000331,5
0.931550,0.068450,25
1.000000,0.000000,9
0.010853,0.989147,27
0.000019,0.999981,19
0.254111,0.745889,15
0.055357,0.944643,16
0.922724,0.077276,11
0.343755,0.656245,13
0.000000,1.000000,14
0.733410,0.266590,19
1.000000,0.000000,2
1.000000,0.000000,10
1.000000,0.000000,23
0.990910,0.009090,12
1.000000,0.000000,8
0.996543,0.003457,21
0.002351,0.997649,23
0.022112,0.977888,37
0.999983,0.000017,7
0.604492,0.395508,19
0.002335,0.997665,17
0.000000,1.000000,14
0.062535,0.937465,24
0.004370,0.995630,4
0.000000,1.000000,8
0.999998,0.000002,20
0.986181,0.013819,22
0.932355,0.067645,27
0.000003,0.999997,18
0.000000,1.000000,36
0.493537,0.506463,1
0.000000,1.000000,36
0.066202,0.933798,12
1.000000,0.000000,3
0.563246,0.436754,2
1.000000,0.000000,7
0.000000,1.000000,26
0.278140,0.721860,3
0.999999,0.000001,13
0.000000,1.000000,20
0.999933,0.000067,14
0.801751,0.198249,12
0.999278,0.000722,5
0.773836,0.226164,11
0.004370,0.995630,4
1.000000,0.000000,9
1.000000,0.000000,13
1.000000,0.000000,10
0.998120,0.001880,25
0.938282,0.061718,23
0.000001,1.000000,19
0.000000,1.000000,19
0.942764,0.057236,3
0.992850,0.007150,21
1.000000,0.000000,22
0.308683,0.691317,7
0.000000,1.000000,15
0.252787,0.747213,24
0.000000,1.000000,15
1.000000,0.000000,8
0.000110,0.999890,21
1.000000,0.000000,5
0.999970,0.000030,8
0.493537,0.506463,1
1.000000,0.000000,22
0.000036,0.999964,12
0.173438,0.826562,19
0.999337,0.000663,19
0.999999,0.000001,7
0.999963,0.000037,45
0.999856,0.000144,28
0.999994,0.000006,22
0.996740,0.003260,28
1.000000,0.000000,6
0.000099,0.999901,18
0.000000,1.000000,5
0.996712,0.003288,13
0.998526,0.001474,4
0.054551,0.945449,16
0.000762,0.999238,15
1.000000,0.000000,12
0.356168,0.643832,16
1.000000,0.000000,27
0.248894,0.751106,32
