Negative,Positive,WC
0.037834,0.962166,22
0.969773,0.030227,24
0.000002,0.999998,20
0.070233,0.929767,25
0.037725,0.962275,21
0.998720,0.001280,20
0.000077,0.999923,21
0.001098,0.998902,17
0.989383,0.010617,19
0.000042,0.999958,19
0.002558,0.997442,16
0.000252,0.999748,9
1.000000,0.000000,14
0.233470,0.766530,15
0.989280,0.010720,13
0.000009,0.999991,8
0.000007,0.999993,10
0.000002,0.999998,6
0.017169,0.982831,11
0.999994,0.000006,8
0.000202,0.999798,11
0.009624,0.990376,22
0.762715,0.237285,18
0.087761,0.912239,18
0.941522,0.058478,18
1.000000,0.000000,23
0.000000,1.000000,17
0.999949,0.000050,22
0.006867,0.993133,13
0.000000,1.000000,20
0.049202,0.950798,22
0.000010,0.999990,16
0.999997,0.000003,11
1.000000,0.000000,14
0.000000,1.000000,6
0.421669,0.578331,13
1.000000,0.000000,10
0.000153,0.999847,14
0.000201,0.999799,21
0.998648,0.001352,19
0.728802,0.271198,20
0.999999,0.000001,22
0.984732,0.015268,23
0.000058,0.999942,25
0.999997,0.000003,23
0.999402,0.000598,28
0.004417,0.995583,24
0.079157,0.920843,23
0.000000,1.000000,28
0.000000,1.000000,21
0.999999,0.000001,25
0.133621,0.866379,19
1.000000,0.000000,23
0.180055,0.819945,22
0.964186,0.035814,24
0.999775,0.000225,23
0.978889,0.021111,26
0.818016,0.181984,26
1.000000,0.000000,25
0.045470,0.954530,23
0.647245,0.352755,26
0.999980,0.000020,19
0.493537,0.506463,1
0.486793,0.513207,15
0.000000,1.000000,21
