Negative,Positive,WC
0.999494,0.000506,27
0.000006,0.999994,20
0.672097,0.327903,16
0.001730,0.998270,25
0.999883,0.000117,27
0.000065,0.999935,18
0.997258,0.002742,23
0.000148,0.999852,13
0.994457,0.005543,14
0.999977,0.000024,21
0.999999,0.000001,21
1.000000,0.000000,21
0.000022,0.999978,18
0.802797,0.197203,19
0.417198,0.582802,22
0.999984,0.000016,26
1.000000,0.000000,24
0.999267,0.000733,25
0.030766,0.969234,24
1.000000,0.000000,28
0.020261,0.979739,22
0.275339,0.724661,19
0.000010,0.999990,22
0.000088,0.999912,22
0.302240,0.697760,24
0.999985,0.000015,20
0.948392,0.051608,20
1.000000,0.000000,18
1.000000,0.000000,17
0.999099,0.000901,12
0.023131,0.976869,16
0.000004,0.999996,9
0.998047,0.001953,11
0.022268,0.977732,22
0.139268,0.860732,21
0.000000,1.000000,21
0.000000,1.000000,25
0.009697,0.990303,25
0.850602,0.149398,27
1.000000,0.000000,16
0.999294,0.000706,17
0.000227,0.999773,22
0.001276,0.998724,24
0.999992,0.000008,25
0.999990,0.000010,30
0.000000,1.000000,20
0.000001,0.999999,21
0.005165,0.994835,22
0.959060,0.040940,19
0.306486,0.693514,18
1.000000,0.000000,30
0.617786,0.382214,27
1.000000,0.000000,25
0.999999,0.000001,27
0.999996,0.000004,22
1.000000,0.000000,25
0.992816,0.007184,26
0.000027,0.999973,28
0.000373,0.999627,23
0.000005,0.999995,22
0.849726,0.150274,22
0.000000,1.000000,25
0.807461,0.192539,19
1.000000,0.000000,28
0.999551,0.000449,16
0.000050,0.999950,19
0.996916,0.003084,18
0.999637,0.000363,18
0.998922,0.001078,21
0.000000,1.000000,22
0.000092,0.999908,19
0.000015,0.999985,18
0.003718,0.996282,24
1.000000,0.000000,25
0.975144,0.024856,18
0.994293,0.005707,21
0.999906,0.000094,22
0.998872,0.001128,30
1.000000,0.000000,25
0.003285,0.996715,29
0.999986,0.000014,22
1.000000,0.000000,24
0.984011,0.015989,20
0.000001,0.999999,22
0.999998,0.000002,23
0.831132,0.168868,25
0.002954,0.997046,24
0.260916,0.739084,24
0.999984,0.000016,20
0.999966,0.000034,21
1.000000,0.000000,20
0.000302,0.999698,16
0.022318,0.977682,22
0.114718,0.885282,21
0.998850,0.001150,23
0.287297,0.712703,23
1.000000,0.000000,23
0.000000,1.000000,21
0.999804,0.000196,24
0.999970,0.000030,24
0.999108,0.000892,18
0.000001,1.000000,16
1.000000,0.000000,26
0.000686,0.999314,23
0.282049,0.717951,22
0.998234,0.001766,30
0.980796,0.019204,29
1.000000,0.000000,27
0.999942,0.000058,20
0.000000,1.000000,17
0.999959,0.000040,22
0.829717,0.170283,21
0.032759,0.967241,26
0.999941,0.000059,23
0.273719,0.726281,24
0.697515,0.302485,27
0.999980,0.000020,22
0.000000,1.000000,25
0.000000,1.000000,21
0.049227,0.950773,18
0.000025,0.999975,26
1.000000,0.000000,25
0.372051,0.627949,24
0.000404,0.999596,21
0.010981,0.989019,26
0.718594,0.281406,19
0.001393,0.998607,20
1.000000,0.000000,22
0.000001,0.999999,26
1.000000,0.000000,23
0.999961,0.000039,25
0.960994,0.039006,20
0.994070,0.005930,22
0.188755,0.811245,21
0.001038,0.998962,20
0.168919,0.831081,22
0.405737,0.594263,9
0.997170,0.002830,18
0.984958,0.015042,14
0.758370,0.241630,14
0.999994,0.000006,21
0.054951,0.945049,25
0.010665,0.989335,23
0.000131,0.999869,20
0.006936,0.993064,20
0.000002,0.999998,24
1.000000,0.000000,25
0.971760,0.028240,19
0.102560,0.897440,23
0.000032,0.999969,25
0.000004,0.999996,23
0.999994,0.000006,26
0.079259,0.920741,23
0.014625,0.985376,22
0.985799,0.014201,27
1.000000,0.000000,25
0.996197,0.003803,18
1.000000,0.000000,22
1.000000,0.000000,22
1.000000,0.000000,24
0.999999,0.000001,24
0.991572,0.008428,25
0.994592,0.005408,21
0.961353,0.038647,22
1.000000,0.000000,24
0.999913,0.000087,27
0.999989,0.000011,22
1.000000,0.000000,25
0.998994,0.001006,19
0.083210,0.916790,20
1.000000,0.000000,25
1.000000,0.000000,24
0.999583,0.000417,23
1.000000,0.000000,21
0.029338,0.970662,24
0.999791,0.000209,22
0.000035,0.999965,22
0.999982,0.000018,26
0.999588,0.000412,33
0.075115,0.924885,11
1.000000,0.000000,26
0.395144,0.604856,8
0.000002,0.999998,12
0.999926,0.000074,10
0.999953,0.000047,23
0.000008,0.999992,20
1.000000,0.000000,26
0.793182,0.206818,26
0.999941,0.000059,22
0.957883,0.042117,27
0.005698,0.994302,23
0.000066,0.999934,26
0.233926,0.766074,25
0.926286,0.073714,31
1.000000,0.000000,28
0.993566,0.006434,26
0.997843,0.002157,21
0.001511,0.998489,20
0.004707,0.995293,22
0.000596,0.999404,22
0.999996,0.000004,24
0.000000,1.000000,20
0.000009,0.999991,24
0.232892,0.767108,22
0.999388,0.000613,21
0.998776,0.001224,25
1.000000,0.000000,26
0.999970,0.000030,24
0.787232,0.212768,25
0.363908,0.636092,23
1.000000,0.000000,25
0.999985,0.000016,20
0.995334,0.004666,26
0.826985,0.173015,21
0.166796,0.833204,22
0.000004,0.999996,25
0.999969,0.000031,26
1.000000,0.000000,17
0.154468,0.845532,21
0.654890,0.345110,26
0.000405,0.999595,24
0.894595,0.105405,25
1.000000,0.000000,12
1.000000,0.000000,24
0.918396,0.081604,22
0.997405,0.002595,30
1.000000,0.000000,18
0.999997,0.000003,21
1.000000,0.000000,25
1.000000,0.000000,26
1.000000,0.000000,23
0.999942,0.000058,23
0.440295,0.559705,26
0.999120,0.000880,19
0.998251,0.001749,25
0.026710,0.973290,17
0.949675,0.050325,26
0.000014,0.999986,23
0.999995,0.000005,20
0.749896,0.250104,24
0.000086,0.999914,20
0.000009,0.999991,20
0.129759,0.870241,25
0.576591,0.423409,23
0.527034,0.472966,25
0.979658,0.020342,25
0.000005,0.999995,26
0.000123,0.999877,31
1.000000,0.000000,21
0.000034,0.999966,21
0.999923,0.000077,19
0.999043,0.000957,24
0.050862,0.949138,10
0.542135,0.457865,28
0.067645,0.932355,22
0.999996,0.000004,30
0.999781,0.000219,31
0.007323,0.992677,20
0.000000,1.000000,25
0.002709,0.997291,25
0.999998,0.000002,26
0.999932,0.000068,22
0.999992,0.000008,25
0.997728,0.002272,17
0.302954,0.697046,19
1.000000,0.000000,22
0.221595,0.778405,24
0.000000,1.000000,25
0.998960,0.001040,24
1.000000,0.000000,24
1.000000,0.000000,24
0.995802,0.004198,25
1.000000,0.000000,24
0.000028,0.999972,17
0.789864,0.210137,24
0.297859,0.702141,22
0.610031,0.389969,23
0.005897,0.994103,21
0.000276,0.999724,23
0.947774,0.052226,23
0.000001,0.999999,22
0.032893,0.967107,21
1.000000,0.000000,22
0.999998,0.000002,19
0.989487,0.010513,24
0.000908,0.999092,16
1.000000,0.000000,12
0.007144,0.992856,20
0.111860,0.888140,10
0.960548,0.039452,25
0.037218,0.962782,22
0.996058,0.003942,20
1.000000,0.000000,23
0.012294,0.987706,25
0.000177,0.999823,21
0.974874,0.025126,22
0.000012,0.999988,23
0.822586,0.177414,20
0.153242,0.846758,26
0.000879,0.999121,20
0.999906,0.000094,19
0.996137,0.003863,19
0.958659,0.041341,23
0.999970,0.000030,22
0.999998,0.000001,24
0.047616,0.952384,7
0.000101,0.999899,9
0.993244,0.006756,23
0.000005,0.999995,22
1.000000,0.000000,24
0.999265,0.000735,19
0.000283,0.999717,23
1.000000,0.000000,20
0.551061,0.448939,23
1.000000,0.000000,19
0.995387,0.004613,27
0.000006,0.999994,28
1.000000,0.000000,19
0.034637,0.965363,22
0.018667,0.981333,23
0.999999,0.000001,22
0.999232,0.000768,26
1.000000,0.000000,28
1.000000,0.000000,27
0.267331,0.732669,22
1.000000,0.000000,23
0.000008,0.999992,23
0.996944,0.003056,26
0.563246,0.436754,2
0.563246,0.436754,2
0.614926,0.385074,20
0.999937,0.000063,16
0.033971,0.966029,18
0.005737,0.994263,21
0.918626,0.081374,22
0.112244,0.887756,27
1.000000,0.000000,24
0.867867,0.132133,32
0.000000,1.000000,18
0.000006,0.999994,19
0.999946,0.000054,24
0.999999,0.000001,25
0.000000,1.000000,9
0.000000,1.000000,21
1.000000,0.000000,22
0.999992,0.000008,21
0.020389,0.979611,20
0.003357,0.996643,17
1.000000,0.000000,24
0.801915,0.198085,30
0.373931,0.626069,25
0.000029,0.999971,20
0.000000,1.000000,23
0.934184,0.065816,23
0.999691,0.000309,25
1.000000,0.000000,27
0.000000,1.000000,22
0.997127,0.002873,22
0.233823,0.766177,21
0.014815,0.985185,24
0.638329,0.361671,23
0.000306,0.999694,22
0.999984,0.000016,20
0.000383,0.999617,22
0.847514,0.152486,22
1.000000,0.000000,23
0.717879,0.282121,21
0.999999,0.000001,21
0.029754,0.970246,20
0.999681,0.000319,23
0.001407,0.998593,21
0.000218,0.999782,24
0.000381,0.999619,23
0.000186,0.999814,21
0.000206,0.999794,21
0.000000,1.000000,18
0.000000,1.000000,19
1.000000,0.000000,19
0.005388,0.994612,20
0.029941,0.970059,20
0.006628,0.993372,20
0.311653,0.688347,23
1.000000,0.000000,21
1.000000,0.000000,25
0.333865,0.666135,22
0.550116,0.449884,20
0.994870,0.005130,18
0.000001,0.999999,21
0.858002,0.141998,19
0.990825,0.009175,23
1.000000,0.000000,24
0.998203,0.001797,8
0.999999,0.000001,8
1.000000,0.000000,22
1.000000,0.000000,22
1.000000,0.000000,25
0.715783,0.284217,25
0.018524,0.981476,22
0.999992,0.000008,22
0.950391,0.049609,17
0.999001,0.000999,19
0.999972,0.000028,29
0.864020,0.135980,30
0.040582,0.959418,20
0.000000,1.000000,7
0.000000,1.000000,18
0.002428,0.997572,18
1.000000,0.000000,13
0.267470,0.732530,19
1.000000,0.000000,18
0.998842,0.001158,22
0.000296,0.999704,21
1.000000,0.000000,22
0.999997,0.000003,22
0.993895,0.006105,15
0.481984,0.518016,20
0.984555,0.015445,23
1.000000,0.000000,15
0.000139,0.999861,21
0.000034,0.999966,18
0.000326,0.999674,19
0.101518,0.898482,25
0.000009,0.999991,26
0.075228,0.924772,18
0.003355,0.996645,22
0.366275,0.633725,22
0.992362,0.007638,24
0.000001,0.999999,18
0.000461,0.999539,17
1.000000,0.000000,15
0.999981,0.000019,20
0.999995,0.000005,23
0.994656,0.005344,22
0.999994,0.000006,25
0.055044,0.944956,23
0.000113,0.999887,23
0.007706,0.992294,23
0.346210,0.653790,24
0.533495,0.466505,25
0.000196,0.999804,19
0.000077,0.999923,22
0.975427,0.024573,19
0.427963,0.572037,21
0.974188,0.025812,13
0.000416,0.999584,18
0.000000,1.000000,10
0.000128,0.999872,12
0.999995,0.000005,20
0.904514,0.095486,27
0.999915,0.000085,22
0.992095,0.007905,24
0.999876,0.000124,23
0.000014,0.999986,23
0.999989,0.000011,23
0.999990,0.000011,25
0.996998,0.003002,16
0.003172,0.996828,20
0.998800,0.001200,20
0.124489,0.875511,21
1.000000,0.000000,21
1.000000,0.000000,22
0.999997,0.000003,18
0.000006,0.999994,25
0.008464,0.991536,26
0.024527,0.975473,22
0.000000,1.000000,24
0.991540,0.008460,22
0.000243,0.999757,28
1.000000,0.000000,22
1.000000,0.000000,32
0.003008,0.996992,17
0.046336,0.953664,23
0.999993,0.000007,22
0.000000,1.000000,22
0.001264,0.998736,23
0.844616,0.155384,23
0.000074,0.999926,17
1.000000,0.000000,22
0.982146,0.017854,20
0.000136,0.999864,18
0.999937,0.000063,20
1.000000,0.000000,24
0.999993,0.000007,22
0.003617,0.996383,21
0.115865,0.884135,26
0.001181,0.998819,24
1.000000,0.000000,20
0.982847,0.017153,21
0.000002,0.999998,22
0.000003,0.999997,25
0.863355,0.136645,23
0.015923,0.984077,21
0.000101,0.999899,23
0.995598,0.004402,25
0.002523,0.997477,21
1.000000,0.000000,24
0.000001,0.999999,22
0.953932,0.046068,20
0.999347,0.000653,24
0.155459,0.844541,22
0.987612,0.012388,22
1.000000,0.000000,19
0.000000,1.000000,21
0.998752,0.001248,25
0.747485,0.252515,23
0.002082,0.997918,21
0.996969,0.003031,26
0.000072,0.999928,27
0.031739,0.968261,25
0.209617,0.790383,21
1.000000,0.000000,20
1.000000,0.000000,24
1.000000,0.000000,27
0.000625,0.999375,21
0.001131,0.998869,25
0.021463,0.978537,23
1.000000,0.000000,23
0.000000,1.000000,25
0.000000,1.000000,24
0.004111,0.995889,27
0.010540,0.989460,22
0.998628,0.001372,25
0.073213,0.926787,29
0.959771,0.040229,21
0.000206,0.999794,20
0.000001,0.999999,18
0.999999,0.000001,29
0.000216,0.999784,35
1.000000,0.000000,24
0.998465,0.001535,26
0.891030,0.108970,22
0.872382,0.127618,22
0.005793,0.994207,26
1.000000,0.000000,30
0.000172,0.999828,21
0.999979,0.000021,23
0.999999,0.000001,5
0.938122,0.061878,6
0.144209,0.855791,23
0.999999,0.000001,25
0.999155,0.000845,22
0.000015,0.999985,25
0.020440,0.979560,26
0.000433,0.999567,26
0.776810,0.223190,15
0.000000,1.000000,14
1.000000,0.000000,22
0.993009,0.006991,23
1.000000,0.000000,25
0.999906,0.000094,24
0.999989,0.000011,22
0.994808,0.005192,23
0.999927,0.000073,20
0.999884,0.000116,24
