"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@Tyrese loving you and the @LionelRichie tribute!#GRAMMYs",FALSE,205,"Tyrese",2016-02-16 05:00:27,FALSE,NA,"699458293169651712","24621955","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",57,FALSE,FALSE,NA,NA
"@eriklogan_elo @QueenSugarOWN @AVAETC beautiful read! Thank you cast and writers room!",FALSE,114,"eriklogan_elo",2016-02-14 23:29:45,FALSE,"698986788199624704","699012684063182849","15059534","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",41,FALSE,FALSE,NA,NA
"@RichOnOWN @GayleKing @WeightWatchers yes mr.Cruse #smartpoints works.",FALSE,103,"RichOnOWN",2016-02-13 02:50:15,FALSE,"698337404046848000","698338367180673024","407474647","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",39,FALSE,FALSE,NA,NA
"@AshBenton @GayleKing @WeightWatchers congrats on your 7. Keep doing it.<U+0001F44D><U+0001F3FE>",FALSE,76,"AshBenton",2016-02-13 02:49:22,FALSE,"698337469985648640","698338141711650816","291384033","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",25,FALSE,FALSE,NA,NA
"@GayleKing @WeightWatchers yes Gayle you did it!  in spite of the Cronuts at Christmas!",FALSE,238,"GayleKing",2016-02-13 02:45:36,FALSE,"698305392179339266","698337195241787392","29546945","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",38,FALSE,FALSE,NA,NA
"RT @GayleKing: PROGRESS ! sept 12th @weightwatchers program began at 184.5 pounds FIVE MONTHS down 25 pounds !… https://t.co/d6eufACiR9",FALSE,0,NA,2016-02-13 02:42:42,FALSE,NA,"698336466498252800",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",109,TRUE,FALSE,NA,NA
"RT @people: .@Oprah and Deepak Chopra announce latest 21-day meditation experience https://t.co/7j3KYLHj1s https://t.co/4HUAoyTkWi",FALSE,0,NA,2016-02-11 22:10:54,FALSE,NA,"697905675662299136",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",265,TRUE,FALSE,NA,NA
"Steven Spielberg saw @BwayColorPurple for the first time tonite and loooved it! https://t.co/xgavhMpaSD",FALSE,1718,NA,2016-02-11 03:17:35,FALSE,NA,"697620467352383489",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",430,FALSE,FALSE,NA,NA
"Morning hike with the team ! https://t.co/0NSUbaRPHy",FALSE,1618,NA,2016-02-10 20:31:00,FALSE,NA,"697518148048785413",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",371,FALSE,FALSE,NA,NA
"Dreaming with the dream team in Maui. https://t.co/ksLZRShpk9",FALSE,1739,NA,2016-02-10 03:59:56,FALSE,NA,"697268736365981696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",386,FALSE,FALSE,NA,NA
"@GayleKing  great job ! At the White House<U+0001F44D><U+0001F3FE><U+0001F44D><U+0001F3FE>",FALSE,344,"GayleKing",2016-02-07 21:32:02,FALSE,NA,"696446344836165632","29546945","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Oprah",108,FALSE,FALSE,NA,NA
