Negative,Positive,WC
0.019144,0.980856,8
0.493537,0.506463,1
0.871870,0.128130,21
1.000000,0.000000,20
0.000689,0.999311,21
0.003466,0.996534,19
0.493537,0.506463,1
0.999369,0.000631,13
0.994849,0.005151,25
0.077476,0.922524,24
0.998216,0.001784,26
0.999998,0.000002,24
0.999549,0.000451,20
0.997348,0.002652,23
0.876060,0.123940,21
0.000001,0.999999,25
0.006001,0.993999,11
1.000000,0.000000,23
0.859117,0.140883,22
1.000000,0.000000,18
0.999998,0.000002,9
0.909592,0.090408,20
0.999869,0.000131,16
0.999995,0.000005,18
0.000000,1.000000,19
0.999372,0.000628,5
0.000000,1.000000,4
0.493537,0.506463,1
1.000000,0.000000,21
0.073658,0.926342,21
0.999990,0.000010,19
0.000014,0.999986,24
0.000331,0.999669,4
0.493537,0.506463,1
0.299266,0.700734,23
0.000597,0.999403,21
0.604308,0.395692,10
0.229527,0.770473,20
0.999999,0.000001,8
0.000000,1.000000,23
0.883503,0.116497,12
0.013304,0.986696,20
0.002002,0.997998,29
0.993989,0.006011,22
1.000000,0.000000,22
0.000000,1.000000,15
0.493537,0.506463,1
0.493537,0.506463,1
0.624462,0.375538,16
1.000000,0.000000,7
1.000000,0.000000,17
0.973133,0.026867,26
0.000000,1.000000,27
0.999990,0.000009,25
0.000000,1.000000,12
0.007269,0.992731,7
1.000000,0.000000,11
0.493537,0.506463,1
0.906144,0.093856,24
0.018035,0.981965,26
0.345064,0.654936,31
0.989303,0.010697,25
0.000006,0.999994,18
0.088163,0.911837,30
0.000001,0.999999,20
0.016801,0.983199,7
0.000000,1.000000,20
1.000000,0.000000,22
0.999998,0.000002,22
0.017972,0.982028,18
0.000000,1.000000,22
0.602243,0.397757,14
1.000000,0.000000,26
0.063782,0.936218,22
0.000000,1.000000,5
0.344765,0.655235,15
0.000000,1.000000,5
0.000000,1.000000,18
0.493537,0.506463,1
0.002467,0.997533,16
0.493537,0.506463,1
0.010325,0.989675,23
0.989818,0.010182,28
1.000000,0.000000,19
0.979565,0.020435,20
1.000000,0.000000,11
0.983642,0.016358,24
0.003782,0.996218,21
0.322286,0.677714,20
1.000000,0.000000,24
0.997246,0.002754,21
0.493537,0.506463,1
0.000117,0.999883,15
0.997895,0.002105,20
0.999968,0.000032,15
0.000011,0.999989,12
1.000000,0.000000,25
1.000000,0.000000,22
0.000067,0.999933,25
0.999923,0.000077,20
0.116594,0.883406,23
0.493537,0.506463,1
0.000032,0.999968,18
1.000000,0.000000,21
0.819964,0.180036,19
0.948639,0.051361,24
1.000000,0.000000,22
0.312848,0.687152,11
1.000000,0.000000,22
1.000000,0.000000,21
0.999912,0.000088,18
1.000000,0.000000,21
0.999947,0.000053,21
0.055108,0.944892,21
0.999664,0.000336,21
0.493537,0.506463,1
0.329951,0.670049,4
0.000000,1.000000,19
0.000020,0.999980,20
0.986952,0.013048,24
1.000000,0.000000,15
0.026239,0.973761,24
1.000000,0.000000,24
0.999999,0.000001,20
0.029033,0.970967,25
0.255231,0.744769,27
0.000758,0.999242,30
1.000000,0.000000,21
1.000000,0.000000,21
0.091552,0.908448,18
0.999995,0.000005,22
0.767732,0.232268,22
0.001717,0.998283,26
0.862248,0.137752,28
0.999998,0.000002,28
0.000000,1.000000,24
0.308336,0.691664,23
1.000000,0.000000,22
0.999904,0.000096,25
0.146768,0.853232,21
0.000002,0.999998,19
1.000000,0.000000,22
1.000000,0.000000,23
0.020230,0.979770,17
0.999999,0.000001,21
0.039020,0.960980,19
0.001344,0.998656,13
0.000002,0.999998,20
1.000000,0.000000,21
0.999671,0.000329,16
0.877000,0.123000,23
0.000241,0.999759,20
1.000000,0.000000,19
0.092349,0.907651,27
0.981470,0.018530,22
0.999119,0.000881,21
0.061975,0.938025,24
0.999804,0.000196,27
0.991268,0.008732,23
0.364429,0.635571,4
1.000000,0.000000,22
1.000000,0.000001,24
0.970974,0.029026,21
0.020051,0.979949,20
0.963066,0.036934,18
0.915291,0.084708,20
0.994028,0.005972,25
0.004911,0.995089,8
0.000000,1.000000,31
0.297750,0.702250,8
0.955058,0.044942,18
0.999509,0.000490,21
0.000008,0.999992,25
0.000002,0.999997,23
1.000000,0.000000,26
